utterance_id,timestamp,name,group,date,block_index,llm_label,llm_engagement,llm_reference,tokprob_explain_own_idea,tokprob_engage_others,tokprob_uncorrelated,tokprob_engage_low,tokprob_engage_medium,tokprob_engage_high,prob_explain_own_idea,prob_engage_others_low,prob_engage_others_medium,prob_engage_others_high,prob_uncorrelated
0,,T,Keila Delilah,1.22,1,Uncorrelated,,,1.418811734765768e-09,2.5145709514617923e-08,1.0,0.953125,0.0106201171875,0.01361083984375,1.1867133417136042e-09,3.482106502320409e-10,3.723160493869314e-12,1.041779092889054e-11,0.9999999984509352
1,1:24,Keila,Keila Delilah,1.22,2,Uncorrelated,,,1.1059455573558807e-09,2.4883775040507312e-09,1.0,0.95703125,0.0106201171875,0.01544189453125,9.419116213234248e-10,1.4361717565007142e-10,6.918793155524857e-13,1.5088186253011998e-12,0.9999999989122704
2,1:24,Delilah,Keila Delilah,1.22,2,Uncorrelated,,,6.411937647499144e-11,3.474269760772586e-10,1.0,0.9375,0.01043701171875,0.01043701171875,5.1823372834581116e-11,7.667851907840839e-12,5.889735155082446e-14,6.465648184787696e-14,0.9999999999403852
3,1:24,Diego,Keila Delilah,1.22,2,Engage Others Idea,LOW,Keila,1.2993812561035156e-05,1.0,3.293156623840332e-06,0.96875,0.02587890625,0.00396728515625,0.6398175915539748,0.1696984843653017,0.0095772388737556,0.0016597920803167,0.1792468931266509
4,1:24,Keila,Keila Delilah,1.22,2,Uncorrelated,,,8.585629984736443e-10,3.05473804473877e-07,1.0,0.9765625,0.0035247802734375,0.0108642578125,6.554778605815491e-10,1.7751520908871274e-09,8.64558505960989e-12,1.9065080663264727e-11,0.9999999975416594
5,1:24,Delilah,Keila Delilah,1.22,2,Uncorrelated,,,3.6925484891980886e-10,8.672941476106644e-09,1.0,0.95703125,0.01202392578125,0.00830078125,2.8479163550988804e-10,5.669767486687003e-10,2.9187992900382954e-12,1.7026959136159612e-12,0.9999999991436102
6,1:24,Both,Keila Delilah,1.22,2,Uncorrelated,,,8.330971468240023e-10,1.7229467630386353e-08,1.0,0.93359375,0.01507568359375,0.0281982421875,7.046012644402935e-10,1.35984452421468e-09,1.857735338078595e-11,4.475556254400514e-11,0.9999999978722214
7,1:24,Delilah,Keila Delilah,1.22,2,Uncorrelated,,,2.4556356947869057e-10,1.251464709639549e-09,1.0,0.953125,0.01202392578125,0.00933837890625,2.0543037947258248e-10,3.792954498528341e-11,2.699245892365357e-13,1.7593833910530006e-13,0.999999999756194
8,1:24,Diego,Keila Delilah,1.22,2,Uncorrelated,,,1.5916157281026244e-10,7.188646122813225e-09,1.0,0.8828125,0.018310546875,0.038818359375,1.2303479371495248e-10,1.3560028181654698e-10,1.7656135095727585e-12,5.658202312810476e-12,0.999999999733941
9,7:09,Delilah,Keila Delilah,1.22,3,Uncorrelated,,,8.503775461576879e-11,8.076312951743603e-10,1.0,0.921875,0.0245361328125,0.016845703125,6.677328652748358e-11,6.246428655987729e-12,1.3161523894378196e-13,9.379637867148109e-14,0.9999999999267548
