utterance_id,timestamp,name,group,date,block_index,llm_label,llm_engagement,llm_reference,tokprob_explain_own_idea,tokprob_engage_others,tokprob_uncorrelated,tokprob_engage_low,tokprob_engage_medium,tokprob_engage_high,prob_explain_own_idea,prob_engage_others_low,prob_engage_others_medium,prob_engage_others_high,prob_uncorrelated
0,,T,Keila Delilah,1.22,1,Uncorrelated,,,5.056790541857481e-10,9.255018085241318e-09,1.0,0.9375,0.01513671875,0.01513671875,4.3398214151323936e-10,1.0931842802103263e-10,1.763977594124626e-12,3.820623629107394e-12,0.9999999994511148
1,1:24,Keila,Keila Delilah,1.22,2,Uncorrelated,,,3.055902197957039e-10,2.9976945370435715e-09,1.0,0.921875,0.01318359375,0.02783203125,2.640269887343958e-10,8.866360999237488e-11,7.285087234657537e-13,1.763190472394147e-12,0.9999999996448176
2,1:24,Delilah,Keila Delilah,1.22,2,Uncorrelated,,,4.274625098332763e-11,4.911271389573811e-10,1.0,0.9296875,0.01031494140625,0.01708984375,3.3834149741532224e-11,6.104803531416834e-12,8.493019455532222e-14,1.1129251607302913e-13,0.9999999999598648
3,1:24,Diego,Keila Delilah,1.22,2,Engage Others Idea,LOW,Keila,1.0654330253601074e-06,1.0,1.0132789611816406e-05,0.86328125,0.1328125,0.0035247802734375,0.0416119935055934,0.3007279292737545,0.0766970634900732,0.0031007488764518,0.5778622648541268
4,1:24,Keila,Keila Delilah,1.22,2,Engage Others Idea,LOW,Diego,4.731118679046631e-07,0.99609375,0.0008010864257812,0.984375,0.00244140625,0.01092529296875,0.0001404482840556,0.0287341839979565,0.000172927085868,0.0003654770515698,0.97058696358055
5,1:24,Delilah,Keila Delilah,1.22,2,Uncorrelated,,,3.2559910323470826e-10,1.6181729733943943e-08,1.0,0.9609375,0.0064697265625,0.0093994140625,2.444926329486414e-10,8.043285087417228e-10,3.1994799403501348e-12,4.952333367611297e-12,0.999999998943027
6,1:24,Both,Keila Delilah,1.22,2,Uncorrelated,,,7.130438461899756e-10,3.4226104617118835e-08,1.0,0.9375,0.0091552734375,0.02490234375,5.563615627856728e-10,2.2031740235912527e-09,1.563272344113074e-11,4.4781520834192614e-11,0.9999999971800502
7,1:24,Delilah,Keila Delilah,1.22,2,Uncorrelated,,,2.6193447411060333e-10,4.103640094399452e-09,1.0,0.96484375,0.006500244140625,0.007354736328125,1.961101718664892e-10,1.2155037967270427e-10,5.961199417814525e-13,4.766917778842837e-13,0.9999999996812668
8,1:24,Diego,Keila Delilah,1.22,2,Uncorrelated,,,1.4915713109076023e-10,1.6181729733943943e-08,1.0,0.8984375,0.00994873046875,0.0211181640625,1.24930126154622e-10,2.8169767580084685e-10,2.1460185119328737e-12,5.52602338017952e-12,0.9999999995857
9,7:09,Delilah,Keila Delilah,1.22,3,Uncorrelated,,,4.843059286940843e-11,5.202309694141151e-10,1.0,0.94921875,0.00933837890625,0.0135498046875,3.9744287624116997e-11,8.8428135443149e-12,7.348693928969993e-14,7.130427806290862e-14,0.999999999951268
