utterance_id,timestamp,name,group,date,block_index,llm_label,llm_engagement,llm_reference,tokprob_explain_own_idea,tokprob_engage_others,tokprob_uncorrelated,tokprob_engage_low,tokprob_engage_medium,tokprob_engage_high,prob_explain_own_idea,prob_engage_others_low,prob_engage_others_medium,prob_engage_others_high,prob_uncorrelated
0,,T,Keila Delilah,1.22,1,Uncorrelated,,,2.342858351767063e-09,1.8533319234848025e-07,1.0,0.9921875,0.005889892578125,0.002777099609375,2.061723716734716e-09,1.1740118602908489e-08,5.395607157708023e-11,2.929939577127e-11,0.9999999861149024
1,1:24,Keila,Keila Delilah,1.22,2,Explain Own Idea,,,1.0,1.525040715932846e-08,1.5688783605583012e-11,0.91796875,0.05859375,0.0216064453125,0.999999998763131,1.1302249504401846e-09,5.4934379356339765e-11,3.598728701063112e-11,1.5722461025910102e-11
2,1:24,Delilah,Keila Delilah,1.22,2,Uncorrelated,,,1.6555645743210334e-12,1.8189894035458563e-09,1.0,0.859375,0.0260009765625,0.001007080078125,1.457487878631222e-12,5.3458531848069696e-11,8.274758905295589e-13,3.3016308788495735e-14,0.9999999999442236
3,1:24,Diego,Keila Delilah,1.22,2,Engage Others Idea,LOW,Keila,1.9557774066925052e-08,1.0,5.428546501207166e-12,0.77734375,0.22265625,5.125999450683594e-05,0.0340999658208379,0.7287502699623416,0.2370178512235668,0.0001230031507485,8.90984250503975e-06
4,1:24,Keila,Keila Delilah,1.22,2,Uncorrelated,,,7.44648787076585e-12,7.729977369308473e-08,1.0,1.0,1.895427703857422e-05,2.905726432800293e-06,6.860556052564799e-12,4.4058476093919675e-12,1.5485813768436634e-16,2.0948418149031386e-17,0.9999999999887336
5,1:24,Delilah,Keila Delilah,1.22,2,Uncorrelated,,,3.943512183468556e-13,1.1059455573558807e-09,1.0,0.60546875,0.049560546875,0.0052490234375,3.223662006956985e-13,6.599859346050638e-12,4.058491109068119e-13,6.367192585980297e-14,0.9999999999926084
6,1:24,Both,Keila Delilah,1.22,2,Uncorrelated,,,7.901235221652314e-12,1.8189894035458563e-09,1.0,0.6171875,0.0576171875,0.004730224609375,6.005802786604641e-12,5.08806670869472e-11,2.154462993629252e-12,4.911992353550512e-13,0.9999999999404678
7,1:24,Delilah,Keila Delilah,1.22,2,Uncorrelated,,,8.412825991399586e-12,3.841705620288849e-09,1.0,0.89453125,0.0732421875,0.00775146484375,7.766040409825529e-12,4.1675495900191686e-11,2.008716639676054e-12,3.4239405887002284e-13,0.9999999999482074
8,1:24,Diego,Keila Delilah,1.22,2,Uncorrelated,,,1.6555645743210334e-12,1.1059455573558807e-09,1.0,0.9921875,0.0031585693359375,0.0007972717285156,1.4408016483515444e-12,8.577785405538449e-11,1.562650686481147e-13,5.1453358267136177e-14,0.9999999999125736
9,7:09,Delilah,Keila Delilah,1.22,3,Uncorrelated,,,6.991740519879386e-12,3.405148163437843e-09,1.0,0.984375,0.01092529296875,0.00244140625,5.634197643543573e-12,5.622828713814765e-12,8.402370279604699e-14,1.7549819015138284e-14,0.9999999999886412
