utterance_id,timestamp,name,group,date,block_index,llm_label,llm_engagement,llm_reference,tokprob_explain_own_idea,tokprob_engage_others,tokprob_uncorrelated,tokprob_engage_low,tokprob_engage_medium,tokprob_engage_high,prob_explain_own_idea,prob_engage_others_low,prob_engage_others_medium,prob_engage_others_high,prob_uncorrelated
0,,T,Keila Delilah,1.22,1,Uncorrelated,,,0.0,5.960464477539064e-08,1.0,0.9560546875,0.018646240234375,0.022491455078125,3.0496244754611635e-12,6.041886059384965e-10,6.458198047716663e-12,4.6087299432024896e-11,0.9999999993402162
1,1:24,Keila,Keila Delilah,1.22,2,Explain Own Idea,,,1.0,6.556510925292969e-06,0.0,0.93212890625,0.0281524658203125,0.036712646484375,0.9999999066799454,8.997277866710668e-08,1.6301709215751102e-09,1.5312870259609794e-09,1.8581793070278383e-10
2,1:24,Delilah,Keila Delilah,1.22,2,Uncorrelated,,,0.0,0.0,1.0,0.92236328125,0.03466796875,0.04180908203125,8.554678011921871e-12,1.7589791816084912e-11,5.15237986394775e-13,5.082843076566646e-13,0.999999999972832
3,1:24,Diego,Keila Delilah,1.22,2,Explain Own Idea,,NA**,1.0,7.271766662597656e-06,4.1961669921875e-05,0.9794921875,0.018798828125,0.0012598037719726,0.9999580103626196,1.5241333885441263e-09,4.243726548879425e-12,3.909043791438908e-11,4.19880699126514e-05
4,1:24,Keila,Keila Delilah,1.22,2,Uncorrelated,,,0.0,5.066394805908203e-05,1.0,0.95263671875,0.031097412109375,0.0156402587890625,1.7983865563038786e-10,8.192673428684329e-07,6.669265729831184e-09,3.911158497076258e-09,0.999999169972394
5,1:24,Delilah,Keila Delilah,1.22,2,Uncorrelated,,,0.0,0.0,1.0,0.92236328125,0.0234527587890625,0.052032470703125,1.7537431461950062e-11,8.219225268758477e-11,5.857451207708481e-13,1.606533493784317e-12,0.999999999898078
6,1:24,Both,Keila Delilah,1.22,2,Uncorrelated,,,0.0,3.576278686523438e-07,1.0,0.9208984375,0.0087509155273437,0.041748046875,9.154135943366713e-13,9.907785227034684e-09,2.8422766547342252e-11,2.7406590156267586e-10,0.9999999897888108
7,1:24,Delilah,Keila Delilah,1.22,2,Uncorrelated,,,0.0,0.0,1.0,0.96533203125,0.018524169921875,0.0146560668945312,8.410552907079935e-09,2.4730540889999242e-09,3.603335545729857e-12,1.1458143801622113e-12,0.999999989111644
8,1:24,Diego,Keila Delilah,1.22,2,Uncorrelated,,,0.0,1.2516975402832031e-06,1.0,0.89599609375,0.0204315185546875,0.07830810546875,8.032330256372389e-12,4.76625689653062e-08,1.923757477788177e-10,1.666507183458685e-09,0.9999999504705156
9,7:09,Delilah,Keila Delilah,1.22,3,Uncorrelated,,,0.0,1.1920928955078125e-07,1.0,0.99365234375,0.0025825500488281,0.0028800964355468,6.12728590056576e-11,3.031200707801085e-12,1.656631878762737e-13,8.691661059803778e-13,0.9999999999346612
10,7:09,Keila,Keila Delilah,1.22,3,Uncorrelated,,,0.0,5.960464477539064e-08,1.0,0.9208984375,0.0171356201171875,0.06072998046875,6.723669427009555e-11,2.1198742237226967e-10,1.4579049285490478e-12,2.5966987422841712e-11,0.9999999996933512
11,7:09,Delilah,Keila Delilah,1.22,3,Uncorrelated,,,0.0,0.0,1.0,0.8935546875,0.05535888671875,0.048858642578125,6.448892327894475e-12,3.6251833431304226e-11,8.726062054923522e-13,7.308942584398541e-13,0.999999999955696
12,7:09,Keila,Keila Delilah,1.22,3,Uncorrelated,,,0.0,8.350610733032227e-05,1.0,0.99853515625,0.0011157989501953,4.905462265014648e-05,2.620147788058159e-10,4.2829784736200265e-08,4.0498885085572776e-11,6.350885415419146e-12,0.9999999568613508
13,7:09,Delilah,Keila Delilah,1.22,3,Uncorrelated,,,0.0,0.0,1.0,0.96630859375,0.0203704833984375,0.0125503540039062,2.985164211207855e-11,1.8375784816045651e-10,3.855856739654033e-13,3.3004048005263834e-13,0.9999999997856748
14,7:09,Keila,Keila Delilah,1.22,3,Uncorrelated,,,0.0,0.0,1.0,0.9765625,0.01068115234375,0.0117263793945312,3.6951558357067477e-10,1.4499605941370335e-11,7.770492356409805e-14,9.529980967977389e-14,0.9999999996158118
15,13:37,Delilah,Keila Delilah,1.22,4,Uncorrelated,,,1.788139343261719e-07,1.8358230590820312e-05,1.0,0.958984375,0.0222015380859375,0.0172882080078125,2.0377720727859922e-07,2.76398724050853e-07,1.3207973659893814e-09,5.164253187809992e-10,0.999999517986846
16,13:37,T,Keila Delilah,1.22,4,Uncorrelated,,,0.0,0.0,1.0,0.98583984375,0.0082626342773437,0.0040931701660156,3.24666131196837e-12,7.242547175800078e-11,2.846711799731652e-13,1.4474177552316696e-12,0.9999999999225956
17,13:37,Delilah,Keila Delilah,1.22,4,Uncorrelated,,,0.0,5.364418029785156e-07,1.0,0.943359375,0.031280517578125,0.0243682861328125,1.2430038589298588e-08,1.8846696163646586e-08,5.832818360826951e-11,3.206953573003898e-11,0.9999999686328674
18,13:37,T,Keila Delilah,1.22,4,Uncorrelated,,NA**,0.0,1.1920928955078125e-07,1.0,0.98095703125,0.0079727172851562,0.0018072128295898,4.2109207184310353e-11,1.4263530135695535e-09,5.79488011412805e-12,5.221476141531463e-12,0.9999999985205216
19,13:37,Both,Keila Delilah,1.22,4,Uncorrelated,,,0.0,5.960464477539064e-08,1.0,0.9501953125,0.0103912353515625,0.027801513671875,2.8330175323436975e-10,5.769302917876098e-09,1.2635280130574e-11,2.760672856135891e-11,0.9999999939071532
20,1:55,Delilah,Keila Delilah,1.22,5,Explain Own Idea,,,1.0,3.576278686523438e-07,0.0,0.96826171875,0.02386474609375,0.0069427490234375,0.9999999970110452,2.8905818673486153e-09,1.9230595526434617e-11,4.0651248371870615e-12,7.507722858737495e-11
21,2:49,Delilah,Keila Delilah,1.22,6,Explain Own Idea,,,1.0,7.212162017822266e-06,0.0,0.89013671875,0.053466796875,0.054290771484375,0.999999884217452,1.1466787116154432e-07,3.4003473578310426e-10,7.650971537027557e-10,9.544980338577003e-12
22,2:49,Keila,Keila Delilah,1.22,6,Uncorrelated,,,0.0,1.788139343261719e-07,1.0,0.97412109375,0.0157470703125,0.0081710815429687,3.160537823980762e-10,1.6709464807653552e-10,3.2335966907519204e-12,2.862033428448478e-12,0.999999999510756
23,2:49,Delilah,Keila Delilah,1.22,6,Uncorrelated,,,0.0001511573791503,1.2814998626708984e-05,1.0,0.99462890625,0.0018320083618164,0.0031661987304687,0.0001512047168021,2.323884390871611e-07,8.490489995279743e-11,1.1746356625597678e-10,0.9998485626923904
24,2:49,Keila,Keila Delilah,1.22,6,Engage Others Idea,LOW,Delilah,0.0,1.0,5.960464477539064e-08,1.0,5.364418029785156e-06,0.0,0.0003593271549868,0.0002304317104926,1.0626400377917698e-08,4.5888324003754907e-07,0.99940977162488
25,2:49,Delilah,Keila Delilah,1.22,6,Uncorrelated,,,0.0,1.8477439880371096e-06,1.0,0.99951171875,0.000139832496643,0.0002065896987915,5.0624044375370255e-11,1.737421491312503e-12,1.990723318445067e-14,4.3800552250647556e-13,0.9999999999471808
26,2:49,Keila,Keila Delilah,1.22,6,Uncorrelated,,NA**,0.0,5.960464477539064e-08,1.0,0.9970703125,0.0006971359252929,0.0021476745605468,2.3214752358608703e-08,1.1959677481196043e-10,1.287830847175552e-13,8.125319463771992e-13,0.9999999766647096
27,2:49,Delilah,Keila Delilah,1.22,6,Uncorrelated,,,0.0,0.0,1.0,0.97412109375,0.014556884765625,0.0104904174804687,7.620325338486839e-11,1.1329676356365497e-10,1.4291250455454644e-13,8.041872785557514e-14,0.9999999998102768
28,2:49,Keila,Keila Delilah,1.22,6,Uncorrelated,,,0.0,4.267692565917969e-05,1.0,0.99853515625,0.0012445449829101,1.3172626495361328e-05,9.146767334517773e-10,8.12967569984812e-13,5.346553374277998e-16,1.2160949735772142e-14,0.9999999990844975
29,2:49,Delilah,Keila Delilah,1.22,6,Uncorrelated,,,2.980232238769531e-07,0.0001881122589111,1.0,0.99755859375,0.0001736879348754,0.0020828247070312,3.2568289631073797e-07,1.7565363029866314e-06,1.6076325761064642e-10,1.2992326977312821e-08,0.9999979046277104
30,3:45,Keila,Keila Delilah,1.22,7,Engage Others Idea,LOW,Previous Speaker**,0.0,1.0,2.980232238769531e-07,1.0,7.152557373046875e-07,2.682209014892578e-06,2.781652452643951e-10,0.9999943356320676,2.4435546170875884e-07,7.182198201122793e-07,4.701514485109572e-06
31,3:45,Delilah,Keila Delilah,1.22,7,Engage Others Idea,MEDIUM,Keila,0.0,1.0,1.1920928955078125e-07,2.384185791015625e-07,1.0,9.5367431640625e-07,0.0004439461894274,5.057094370237083e-08,2.405885438926941e-06,3.632052756228102e-07,0.9995532341489144
32,3:45,Keila,Keila Delilah,1.22,7,Explain Own Idea,,,1.0,2.384185791015625e-07,1.1920928955078125e-07,0.9833984375,0.0061264038085937,0.0102615356445312,0.9999998830641458,4.391398879719415e-09,5.809732069428037e-12,5.187625575386281e-12,1.1253345783770269e-07
33,4:11,Delilah,Keila Delilah,1.22,8,Explain Own Idea,,NA**,1.0,4.231929779052734e-06,0.0,0.92138671875,0.05889892578125,0.0194244384765625,0.9999999988460396,4.856657727767594e-12,4.6141938051163465e-14,1.0771801628514631e-11,1.138285821239043e-09
34,4:11,Keila,Keila Delilah,1.22,8,Explain Own Idea,,,1.0,4.76837158203125e-07,5.960464477539064e-08,0.78759765625,0.1434326171875,0.0677490234375,0.9999999609875738,5.04737839033523e-09,1.3314604980209614e-10,4.310286362384653e-11,3.3788798892137214e-08
35,4:11,Delilah,Keila Delilah,1.22,8,Engage Others Idea,LOW,Keila,0.0,1.0,7.748603820800781e-07,1.0,1.3113021850585938e-06,0.0,2.7548138642988855e-05,1.6291243583089483e-06,1.1568884723957443e-09,2.3799558154484746e-07,0.9999705835845288
36,4:44,Keila,Keila Delilah,1.22,9,Explain Own Idea,,,1.0,4.756450653076172e-05,0.0,0.9208984375,0.064697265625,0.0135574340820312,0.9999994517391818,5.430613919881502e-07,3.069183484892624e-09,1.4714647925136472e-09,6.587780153327872e-10
